না	7.01
করে	7.00
এবং	6.99
ও	6.95
এই	6.90
থেকে	6.85
আর	6.79
জন্য	6.77
তার	6.77
হয়	6.77
করা	6.74
এর	6.73
একটি	6.68
যে	6.67
আমি	6.66
করতে	6.65
হবে	6.61
এ	6.58
নিয়ে	6.58
সাথে	6.58
আমার	6.57
কি	6.55
তিনি	6.55
এক	6.54
হয়েছে	6.52
কিছু	6.47
আমাদের	6.46
হয়ে	6.46
কোন	6.45
ছিল	6.45
আমরা	6.43
কিন্তু	6.42
তাদের	6.40
মধ্যে	6.40
কথা	6.39
তারা	6.37
যায়	6.37
অনেক	6.36
যা	6.35
সময়	6.35
সে	6.35
হচ্ছে	6.35
একটা	6.34
করেন	6.34
দিয়ে	6.34
করার	6.32
বা	6.32
আছে	6.31
পর	6.28
সব	6.28
একজন	6.27
মনে	6.27
এখন	6.26
নয়	6.26
পারে	6.25
নেই	6.24
শুরু	6.24
কাজ	6.23
আপনার	6.22
কাছে	6.22
বলে	6.22
যদি	6.21
তা	6.19
বছর	6.19
হতে	6.19
এটা	6.18
সেই	6.18
তাকে	6.17
রয়েছে	6.17
আপনি	6.16
হিসেবে	6.16
করেছে	6.15
তবে	6.15
নতুন	6.15
আগে	6.14
ভালো	6.14
প্রথম	6.13
যখন	6.12
করেছেন	6.11
নাম	6.10
এমন	6.09
কে	6.09
তাই	6.09
তো	6.09
দিন	6.09
দেখা	6.09
বাংলাদেশ	6.09
কেউ	6.08
গেছে	6.08
থাকে	6.08
এটি	6.07
বেশি	6.07
কেন	6.06
জাতীয়	6.06
বিভিন্ন	6.06
শেষ	6.06
বড়	6.05
মানুষ	6.05
পর্যন্ত	6.04
খুব	6.03
টাকা	6.03
তুমি	6.03
জন	6.02
দিতে	6.02
দিকে	6.01
দুই	6.01
সরকার	6.01
আজ	6.00
করছে	6.00
করবে	6.00
করি	6.00
মতো	6.00
যাবে	6.00
এখানে	5.99
পরে	5.99
মাধ্যমে	5.99
উপর	5.98
আবার	5.97
ব্যবহার	5.97
মত	5.97
১	5.97
প্রতি	5.96
হল	5.96
কারণ	5.95
তখন	5.95
তোমার	5.95
দেশের	5.95
ধরে	5.95
প্রায়	5.95
কোনো	5.94
নিজের	5.94
বিরুদ্ধে	5.94
সঙ্গে	5.94
২	5.94
তাঁর	5.93
বন্ধ	5.93
শুধু	5.93
জীবন	5.92
তাহলে	5.92
পুলিশ	5.92
প্রধান	5.92
হলো	5.92
কারণে	5.91
তৈরি	5.91
বাংলাদেশের	5.91
মা	5.91
আরো	5.90
যাচ্ছে	5.90
আরও	5.89
যার	5.89
চাই	5.88
দেয়	5.88
পাওয়া	5.88
যারা	5.88
সালে	5.88
হলে	5.88
অংশ	5.87
চলে	5.87
ছিলেন	5.87
দেখতে	5.87
বলা	5.87
সালের	5.87
মানুষের	5.86
সবচেয়ে	5.86
সবাই	5.86
আমাকে	5.85
দল	5.85
সেখানে	5.85
করুন	5.84
গত	5.84
ঠিক	5.84
দলের	5.84
পড়ে	5.84
প্রকাশ	5.84
হাজার	5.84
অন্য	5.83
ঢাকা	5.83
বিশেষ	5.83
বেশ	5.83
যেন	5.83
হয়েছিল	5.83
অনুষ্ঠিত	5.82
দেখে	5.82
সকল	5.82
ছবি	5.81
দেওয়া	5.81
নামে	5.81
৩	5.81
একই	5.80
ফলে	5.80
ভাল	5.80
যেতে	5.80
র	5.80
চেষ্টা	5.79
নারী	5.79
নির্বাচন	5.79
বছরের	5.79
শিক্ষা	5.79
৫	5.79
আন্তর্জাতিক	5.78
সরকারের	5.78
সামনে	5.78
আল	5.77
কী	5.77
মাঝে	5.77
সাধারণ	5.77
হওয়ার	5.77
ছোট	5.76
জেলা	5.76
দেশে	5.76
সম্পর্কে	5.76
হাতে	5.76
করবেন	5.75
ছাড়া	5.75
তথ্য	5.75
দেয়া	5.75
বাংলা	5.75
কম	5.74
দেখুন	5.74
পারেন	5.74
যেখানে	5.74
যেমন	5.74
সদস্য	5.74
উত্তর	5.73
ঘোষণা	5.73
টি	5.73
তিন	5.73
ধরনের	5.73
নিতে	5.73
ভারতের	5.73
মৃত্যু	5.73
গিয়ে	5.72
দিয়েছে	5.72
ভাই	5.72
ভিডিও	5.72
খবর	5.71
৪	5.71
একটু	5.70
চেয়ে	5.70
ভারত	5.70
অভিযোগ	5.69
এসে	5.69
ক্ষেত্রে	5.69
দেশ	5.69
নাকি	5.69
বলতে	5.69
বিষয়ে	5.69
ব্যবস্থা	5.69
